gene	min0	min5	min10	min30	min60	min120	min180	min240	autocor.adj	DESeq.adj
15S_rRNA	20	20	20	20	20	20.26959401	24	20	NA	NA
21S_rRNA	92.23564497	157.3854687	303.0129287	319.3045508	218.3696007	317.5569729	418	208.8209028	1	1
ETS1-1	0	0	0	0	0	0	0	0	NA	NA
ETS1-2	0	0	0	0	0	0	0	0	NA	NA
ETS2-1	0	0	0	0	0	0	0	0	NA	NA
ETS2-2	0	0	0	0	0	0	0	0	NA	NA
HRA1	20	20	20	20	20	20	20	20	NA	NA
ICR1	46.35432414	49.32977379	49.73308643	85.91973601	54.59240018	121.6175641	94	88.03234137	0.20320578	0.063749032
ITS1-1	0	0	0	0	0	0	0	0	NA	NA
ITS1-2	0	0	0	0	0	0	0	0	NA	NA
ITS2-1	0	0	0	0	0	0	0	0	NA	NA
ITS2-2	0	0	0	0	0	0	0	0	NA	NA
LSR1	67.16646967	99.834066	89.72464047	78.60741805	81.18869771	167.411832	102	111.9170852	0.438942066	0.492054578
NME1	20	20	20	20	20	20	20	20	NA	NA
NTS1-2	1607.738242	1974.36547	1912.929335	1675.130172	1597.877559	3108.004416	2904	1865.7397	NA	NA
NTS2-1	0	0	0	0	0	0	0	0	NA	NA
NTS2-2	0	0	0	0	0	0	0	0	NA	NA
PWR1	0	0	0	0	0	0	0	0	NA	NA
Q0010	0	0	0	0	0	0	0	0	NA	NA
Q0017	0	0	0	0	0	0	0	0	NA	NA
Q0032	0	0	0	0	0	0	0	0	NA	NA
Q0045	78.51854905	141.52947	197.9069213	282.1336012	311.4566421	259.000368	562	90.76202638	0.449056046	0.012124593
Q0050	0	0	0	0	0	0	0	0	NA	NA
Q0055	0	0	0	0	0	0	0	0	NA	NA
Q0060	0	0	0	0	0	0	0	0	NA	NA
Q0065	0	0	0	0	0	0	0	0	NA	NA
Q0070	0	0	0	0	0	0	0	0	NA	NA
Q0075	0	0	0	0	0	0	0	0	NA	NA
Q0080	0	0	0	0	0	0	0	0	NA	NA
Q0085	20	20	20	20	20	20	20	20	NA	NA
Q0092	0	0	0	0	0	0	0	0	NA	NA
Q0105	20	20	20	20	20	20	20	20	NA	NA
Q0110	0	0	0	0	0	0	0	0	NA	NA
Q0115	0	0	0	0	0	0	0	0	NA	NA
Q0120	0	0	0	0	0	0	0	0	NA	NA
Q0130	20	20	20	20	20	20	20	20	NA	NA
Q0140	20	20	20	20	20	20	20	20	NA	NA
Q0142	0	0	0	0	0	0	0	0	NA	NA
Q0143	0	0	0	0	0	0	0	0	NA	NA
Q0144	0	0	0	0	0	0	0	0	NA	NA
Q0160	0	0	0	0	0	0	0	0	NA	NA
Q0182	20	20	20	20	20	20	20	20	NA	NA
Q0250	20	20	20	20	20	20	20	20	NA	NA
Q0255	20	20	20	20	20	20	20	20	NA	NA
Q0275	20	20	20	20	20	20	20	20	NA	NA
Q0297	0	0	0	0	0	0	0	0	NA	NA
R0010W	2533.405715	2935.12154	3726.905209	4175.333554	4554.266	3466.100576	3354	3416.200782	NA	NA
R0020C	3034.789221	3215.831444	3141.900553	3981.557128	3862.762264	3748.373441	2787	3753.31688	NA	NA
R0030W	2246.292708	2525.21461	2452.815314	3360.010102	3724.881459	2820.476471	3567	3283.81106	NA	NA
R0040C	2040.063265	1861.024442	2016.497206	2293.02104	2392.266972	2090.771086	1701	2335.245521	NA	NA
RDN18-1	0	0	0	0	0	0	0	0	NA	NA
RDN18-2	0	0	0	0	0	0	0	0	NA	NA
RDN25-1	0	0	0	0	0	0	0	0	NA	NA
RDN25-2	0	0	0	0	0	0	0	0	NA	NA
RDN37-1	0	0	0	0	0	0	0	0	NA	NA
RDN37-2	0	0	0	0	0	0	0	0	NA	NA
RDN5-1	0	0	0	0	0	0	0	0	NA	NA
RDN5-2	0	0	0	0	0	0	0	0	NA	NA
RDN5-3	0	0	0	0	0	0	0	0	NA	NA
RDN5-4	0	0	0	0	0	0	0	0	NA	NA
RDN5-5	0	0	0	0	0	0	0	0	NA	NA
RDN5-6	20	20	20	20	20	20	20	20	NA	NA
RDN58-1	0	0	0	0	0	0	0	0	NA	NA
RDN58-2	0	0	0	0	0	0	0	0	NA	NA
RNA170	20	20	20	20	20	20	20	20	NA	NA
RPM1	0	0	0	0	0	0	0	0	NA	NA
RPR1	22.70415876	24.07762768	21.53391371	46.31134707	20	24.77394824	27	20	0.944185178	0.920935694
RUF20	54.39538037	132.1333226	106.1314319	73.73253941	57.39201045	80.32765035	67	43.67496006	0.36338413	0.434962719
RUF21	59.12541344	72.23288304	78.44497138	71.29510009	32.89542062	35.2841081	84	41.62769631	0.439996393	0.815493182
RUF22	0	0	0	0	0	0	0	0	NA	NA
RUF23	20	20	20	20	20	20	20	20	NA	NA
RUF5-1	20	20	20	20	20	20	20	20	NA	NA
RUF5-2	0	0	0	0	0	0	0	0	NA	NA
SCR1	78.04554574	138.593174	147.1484104	157.8241959	65.79084125	110.3566785	134	213.5978515	0.416447588	0.284220415
snR10	46.35432414	46.98073694	42.04240296	79.82613771	37.79473859	35.2841081	58	40.26285381	0.842052818	0.947060547
snR11	89.87062843	170.8924306	227.1315185	379.631174	324.0548883	222.2148085	280	139.8963564	0.16768451	0.217750394
snR128	149.9420485	145.6402845	222.0043961	120.6532463	83.28840541	156.9016722	168	139.8963564	0.44572793	0.889956861
snR13	20	20	20	20	20	20	20	20	NA	NA
snR14	30.74521499	24.07762768	23.58476264	29.85863166	40.59434885	24.77394824	28	20.47263753	NA	NA
snR161	20	20	20	20	20	20	20	20	NA	NA
snR17a	20	20	24.6101871	34.12415047	44.09386169	29.27830246	30	40.26285381	0.075160519	0.470047396
snR17b	20	20	20	20	20	21.02031972	20	20	NA	NA
snR18	0	0	0	0	0	0	0	0	NA	NA
snR189	20	20	20	20	20	20	20	20	NA	NA
snR19	23.17716207	30.53747901	33.32629503	20.71823421	30.79571292	33.03193099	20	55.95854258	0.974063604	0.482817299
snR190	20	20	20	20	20	20	20	20	NA	NA
snR191	0	0	0	0	0	0	0	0	NA	NA
snR24	0	0	0	0	0	0	0	0	NA	NA
snR3	48.71934068	49.32977379	27.17374826	31.07735132	32.89542062	58.55660493	50	36.1683263	0.278304135	0.96763878
snR30	166.0241609	258.9813124	288.6569862	326.6168688	111.2845081	182.4263461	200	92.80929013	0.416447588	0.313490625
snR31	41.62429106	58.72592117	76.90683469	82.26357703	66.49074381	65.31313627	86	45.03980256	0.505256438	0.685377559
snR32	20	20	20	20	20	20	20	20	NA	NA
snR33	382.6596758	414.6050035	528.0935982	528.9243323	354.8506012	554.7862954	460	356.223893	NA	NA
snR34	20	20	20	20	20	20	20	20	NA	NA
snR35	21.28514884	20	20	38.38966928	26.59629753	20	20	20	NA	NA
snR36	43.51630429	54.61510669	101.5170218	176.1049908	82.58850284	87.83490739	84	71.65423135	0.129341387	0.804818872
snR37	20	20	20	23.76503336	20	20	20	20	NA	NA
snR38	0	0	0	0	0	0	0	0	NA	NA
snR39	0	0	0	0	0	0	0	0	NA	NA
snR39B	20	20	31.27544611	20	20	20	54	22.51990128	0.544217687	0.677671727
snR4	283.8019845	331.8014546	388.1231591	422.2863621	285.5602471	285.2757676	444	309.1368267	NA	NA
snR40	20	20	23.07205041	21.32759404	28.69600522	20	32	20	NA	NA
snR41	20	20	20	23.76503336	20	20	20	20	NA	NA
snR42	20	20	20	20	20	20	20	20	NA	NA
snR43	35.00224476	36.99733034	51.27122313	62.76406247	32.19551806	63.81168486	87	48.45190882	0.401905591	0.522953861
snR44	0	0	0	0	0	0	0	0	NA	NA
snR45	20	20	20	20	20	20.26959401	20	20	NA	NA
snR46	20	45.2189593	28.19917272	45.09262741	24.49658983	20	20	20	0.352709359	0.063749032
snR47	30.27221168	47.56799615	33.32629503	44.48326758	35.69503089	23.27249683	20	29.34411379	0.183513221	0.282323464
snR48	20	20	21.02120148	24.98375302	20	33.78265669	20	25.93200754	NA	NA
snR49	55.81439029	108.055695	143.0467125	138.9340412	49.69308222	89.3363588	59	24.56716503	0.223942451	0.066828967
snR5	34.52924145	21.72859083	20	20	20	30.02902817	39	23.20232253	NA	NA
snR50	20	20	30.76273388	20	20	33.78265669	20	20	NA	NA
snR51	192.9853495	320.6435296	270.1993459	340.022785	282.0607343	498.4818676	396	289.3466104	0.421823024	0.178286847
snR52	20	20	20	20	20	35.2841081	31	20	NA	NA
snR53	20	20	20	20	20	20	20	20	NA	NA
snR54	0	0	0	0	0	0	0	0	NA	NA
snR55	20	20	20	20	20	20	20	20	NA	NA
snR56	43.51630429	59.31318039	79.98310808	62.15470264	51.09288735	44.29281655	44	29.34411379	0.048021465	0.198982415
snR57	20	20	20	23.76503336	20	20	20	20	NA	NA
snR58	20	20	20	20	20	20	20	20	NA	NA
snR59	0	0	0	0	0	0	0	0	NA	NA
snR6	20	20	20	20	20	20	20	20	NA	NA
snR60	20	20	20	20	20	20	20	20	NA	NA
snR61	53.44937375	76.34369753	71.26700015	104.2005309	79.08899001	121.6175641	124	80.52570761	0.240334107	0.159949182
snR62	32.63722822	51.09155142	56.91105767	48.13942656	30.09581036	55.55370211	120	84.62023512	0.133394477	0.168874405
snR63	145.6850187	185.5739109	225.5933818	213.8853003	104.2854824	131.3769982	126	54.59370008	0.099147003	0.034769017
snR64	20	21.14133162	27.17374826	20.71823421	20	30.02902817	31	20	NA	NA
snR65	68.11247629	132.7205819	188.6781011	130.4030036	46.19356939	93.84071303	77	119.4237189	0.376194692	0.536853313
snR66	20	24.07762768	20	20	20	20	20	20	NA	NA
snR67	20	46.39347773	34.3517195	29.85863166	39.89444629	37.53628521	23	20	0.482254295	0.188969326
snR68	60.54442337	71.05836462	83.05938147	70.07638043	75.58947718	112.6088556	121	105.7752939	NA	NA
snR69	20	26.42666453	33.83900726	34.12415047	35.69503089	20	20	20	NA	NA
snR7-L	20	20.55407241	29.73730941	34.12415047	20	20	20	20	NA	NA
snR7-S	0	0	0	0	0	0	0	0	NA	NA
snR70	72.36950605	118.0391016	82.54666923	112.7315685	109.8847029	99.09579296	124	98.26866014	NA	NA
snR71	20	20	20	24.98375302	20	25.52467394	20	20	NA	NA
snR72	20	20	20	20	20	20	33	20	NA	NA
snR73	20	20	20	20	20	20	20	20	NA	NA
snR74	44.93531422	43.45718167	44.60596412	66.42022145	34.29522576	31.53047958	49	38.8980113	0.597323801	0.842858991
snR75	20	20	20	32.90543081	20	21.77104542	20	21.83748003	NA	NA
snR76	184.9442932	171.4796898	213.8010004	168.183313	77.68918488	236.4785968	214	161.7338365	0.674882859	0.995084987
snR77	20	20	20	20.10887438	20	20	20	20	NA	NA
snR78	20	20	24.09747487	20	20	20	20	20	NA	NA
snR79	20	20	20	20	20	20	20	20	NA	NA
snR8	20	20	29.22459718	26.20247268	20	20	29	20	NA	NA
snR80	20.33914222	38.75910798	20	20	24.49658983	33.03193099	21	23.88474378	NA	NA
snR81	20	20	20	20	20	20	20	20	NA	NA
snR82	20	31.71199743	20	20	20	20	20	20	NA	NA
snR83	22.70415876	40.52088561	32.8135828	56.67046417	27.29620009	38.28701092	20	32.75622005	0.794468388	0.790749584
snR84	206.2294421	209.0642794	230.2077918	171.2301122	172.8759339	221.4640827	182	137.8490927	NA	NA
snR85	20	20	20	25.59311285	20	20	20	20	NA	NA
snR86	208.5944586	558.4835104	677.2928575	631.2967837	432.5397861	442.1774398	468	487.9311944	0.348642354	0.979758709
snR87	20	27.60118295	20	20	21.69697956	57.80587923	23	20	0.46628382	0.203448363
snR9	30.27221168	35.2355527	42.04240296	122.4813258	52.49269248	36.0348338	52	27.29685004	0.348571501	0.594023276
SRG1	207.1754487	197.3190951	269.6866336	374.1469355	438.1390066	395.6324461	322	332.3391492	0.031260917	0.067435195
tA(AGC)D	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)F	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)G	0	0	0	0	0	0	0	0	NA	NA
tA(AGC)H	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)J	0	0	0	0	0	0	0	0	NA	NA
tA(AGC)K1	0	0	0	0	0	0	0	0	NA	NA
tA(AGC)K2	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)L	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)M1	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)M2	20	20	20	20	20	20	20	20	NA	NA
tA(AGC)P	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)A	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)E	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)G	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)L	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)O	20	20	20	20	20	20	20	20	NA	NA
tA(UGC)Q	20	20	20	20	20	20	20	20	NA	NA
tC(GCA)B	0	0	0	0	0	0	0	0	NA	NA
tC(GCA)G	20	20	20	20	20	20	20	20	NA	NA
tC(GCA)P1	20	20	20	20	20	20	20	20	NA	NA
tC(GCA)P2	20	20	20	20	20	20	20	20	NA	NA
tC(GCA)Q	0	0	0	0	0	0	0	0	NA	NA
tD(GUC)B	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)D	0	0	0	0	0	0	0	0	NA	NA
tD(GUC)G1	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)G2	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)I1	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)I2	0	0	0	0	0	0	0	0	NA	NA
tD(GUC)J1	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)J2	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)J3	0	0	0	0	0	0	0	0	NA	NA
tD(GUC)J4	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)K	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)L1	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)L2	0	0	0	0	0	0	0	0	NA	NA
tD(GUC)M	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)N	20	20	20	20	37.79473859	85.58273028	35	55.95854258	0.110678862	4.03E-05
tD(GUC)O	20	20	20	20	20	20	20	20	NA	NA
tD(GUC)Q	20	20	20	20	20	20	20	20	NA	NA
tE(CUC)D	0	0	0	0	0	0	0	0	NA	NA
tE(CUC)I	0	0	0	0	0	0	0	0	NA	NA
tE(UUC)B	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)C	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)E1	20	20	20	20	21.69697956	20	20	20	NA	NA
tE(UUC)E2	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)E3	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)G1	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)G2	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)G3	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)I	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)J	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)K	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)L	0	0	0	0	0	0	0	0	NA	NA
tE(UUC)M	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)P	20	20	20	20	20	20	20	20	NA	NA
tE(UUC)Q	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)B	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)D	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)F	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)G	0	0	0	0	0	0	0	0	NA	NA
tF(GAA)H1	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)H2	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)M	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)N	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)P1	20	20	20	20	20	20	20	20	NA	NA
tF(GAA)P2	0	0	0	0	0	0	0	0	NA	NA
tF(GAA)Q	20	20	20	20	20	20	20	20	NA	NA
tG(CCC)D	0	0	0	0	0	0	0	0	NA	NA
tG(CCC)O	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)B	0	0	0	0	0	0	0	0	NA	NA
tG(GCC)C	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)D1	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)D2	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)E	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)F1	0	0	0	0	0	0	0	0	NA	NA
tG(GCC)F2	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)G1	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)G2	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)J1	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)J2	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)M	0	0	0	0	0	0	0	0	NA	NA
tG(GCC)O1	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)O2	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)P1	20	20	20	20	20	20	20	20	NA	NA
tG(GCC)P2	20	20	20	20	20	20	20	20	NA	NA
tG(UCC)G	20	20	20	20	20	20	20	20	NA	NA
tG(UCC)N	0	0	0	0	0	0	0	0	NA	NA
tG(UCC)O	20	20	20	20	20	20	20	20	NA	NA
tG(UCC)Q	0	0	0	0	0	0	0	0	NA	NA
tH(GUG)E1	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)E2	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)G1	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)G2	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)H	0	0	0	0	0	0	0	0	NA	NA
tH(GUG)K	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)M	20	20	20	20	20	20	20	20	NA	NA
tH(GUG)Q	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)B	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)D	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)E1	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)E2	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)G	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)I1	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)I2	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)L1	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)L2	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)N1	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)N2	0	0	0	0	0	0	0	0	NA	NA
tI(AAU)P1	20	20	20	20	20	20	20	20	NA	NA
tI(AAU)P2	20	20	20	20	20	20	20	20	NA	NA
tI(GAU)Q	0	0	0	0	0	0	0	0	NA	NA
tI(UAU)D	20	20	20	20	20	20	20	20	NA	NA
tI(UAU)L	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)C	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)D1	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)D2	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)E1	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)E2	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)F	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)G1	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)G2	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)G3	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)I	0	0	0	0	0	0	0	0	NA	NA
tK(CUU)J	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)K	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)M	20	20	20	20	20	20	20	20	NA	NA
tK(CUU)P	0	0	0	0	0	0	0	0	NA	NA
tK(UUU)D	20	20	20	20	20	20	20	20	NA	NA
tK(UUU)G1	20	20	20	20	20	20	20	20	NA	NA
tK(UUU)G2	0	0	0	0	0	0	0	0	NA	NA
tK(UUU)K	0	0	0	0	0	0	0	0	NA	NA
tK(UUU)L	20	20	20	20	20	20	20	20	NA	NA
tK(UUU)O	0	0	0	0	0	0	0	0	NA	NA
tK(UUU)P	20	20	20	20	20	20	20	20	NA	NA
tK(UUU)Q	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)A	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)C	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)D	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)G1	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)G2	0	0	0	0	0	0	0	0	NA	NA
tL(CAA)G3	0	0	0	0	0	0	0	0	NA	NA
tL(CAA)K	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)L	20	20	20	20	20	20	20	20	NA	NA
tL(CAA)M	0	0	0	0	0	0	0	0	NA	NA
tL(CAA)N	20	20	20	20	20	20	20	20	NA	NA
tL(GAG)G	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)B1	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)B2	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)D	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)J	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)K	0	0	0	0	0	0	0	0	NA	NA
tL(UAA)L	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)N	20	20	20	20	20	20	20	20	NA	NA
tL(UAA)Q	0	0	0	0	0	0	0	0	NA	NA
tL(UAG)J	0	0	0	0	0	0	0	0	NA	NA
tL(UAG)L1	20	20	22.55933818	23.15567353	24.49658983	54.0522507	97	37.5331688	0.083989186	0.000136382
tL(UAG)L2	0	0	0	0	0	0	0	0	NA	NA
TLC1	4823.68773	6230.232977	7837.319167	7504.875664	4465.378374	5327.900323	4571	3642.764638	0.140702531	0.136809845
tM(CAU)C	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)D	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)E	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)J1	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)J2	0	0	0	0	0	0	0	0	NA	NA
tM(CAU)J3	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)M	0	0	0	0	0	0	0	0	NA	NA
tM(CAU)O1	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)O2	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)P	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)Q1	20	20	20	20	20	20	20	20	NA	NA
tM(CAU)Q2	0	0	0	0	0	0	0	0	NA	NA
tN(GUU)C	0	0	0	0	0	0	0	0	NA	NA
tN(GUU)F	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)G	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)K	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)L	0	0	0	0	0	0	0	0	NA	NA
tN(GUU)N1	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)N2	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)O1	20	20	20	20	20	20	20	20	NA	NA
tN(GUU)O2	0	0	0	0	0	0	0	0	NA	NA
tN(GUU)P	20	20	20	20	20	25.52467394	27	20	NA	NA
tN(GUU)Q	0	0	0	0	0	0	0	0	NA	NA
tP(AGG)C	20	20	20	20	20	20	20	20	NA	NA
tP(AGG)N	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)A	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)F	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)H	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)L	0	0	0	0	0	0	0	0	NA	NA
tP(UGG)M	20	20	20	20	35.69503089	24.02322254	20	20	NA	NA
tP(UGG)N1	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)N2	20	20	20	20	20	20	26	20	NA	NA
tP(UGG)O1	0	0	0	0	0	0	0	0	NA	NA
tP(UGG)O2	0	0	0	0	0	0	0	0	NA	NA
tP(UGG)O3	20	20	20	20	20	20	20	20	NA	NA
tP(UGG)Q	0	0	0	0	0	0	0	0	NA	NA
tQ(CUG)M	0	0	0	0	0	0	0	0	NA	NA
tQ(UUG)B	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)C	0	0	0	0	0	0	0	0	NA	NA
tQ(UUG)D1	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)D2	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)D3	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)E1	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)E2	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)H	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)L	20	20	20	20	20	20	20	20	NA	NA
tQ(UUG)Q	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)D	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)E	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)J	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)K	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)L	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)O	20	20	20	20	20	20	20	20	NA	NA
tR(ACG)Q2	0	0	0	0	0	0	0	0	NA	NA
tR(CCG)L	20	20	20	20	20	20	20	20	NA	NA
tR(CCU)J	20	20	20	20	20	20	20	20	NA	NA
tR(UCU)B	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)D	20	20	20	20	20	20	20	20	NA	NA
tR(UCU)E	20	20	20	20	20	20	20	20	NA	NA
tR(UCU)G1	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)G2	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)G3	20	20	20	20	20	20	20	20	NA	NA
tR(UCU)J1	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)J2	20	20	20	20	20	20	20	20	NA	NA
tR(UCU)K	20	20	20	20	20	20	21	20	NA	NA
tR(UCU)M1	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)M2	0	0	0	0	0	0	0	0	NA	NA
tR(UCU)Q1	0	0	0	0	0	0	0	0	NA	NA
tS(AGA)A	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)B	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)D1	0	0	0	0	0	0	0	0	NA	NA
tS(AGA)D2	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)D3	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)E	0	0	0	0	0	0	0	0	NA	NA
tS(AGA)G	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)H	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)J	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)L	20	20	20	20	20	20	20	20	NA	NA
tS(AGA)M	20	20	20	20	20	20	20	20	NA	NA
tS(CGA)C	20	20	20	20	20	20	20	20	NA	NA
tS(GCU)F	20	20	20	20	20	20	20	20	NA	NA
tS(GCU)L	20	20	20	20	20	20	20	20	NA	NA
tS(GCU)O	20	20	20	20	20	20	20	20	NA	NA
tS(GCU)Q1	0	0	0	0	0	0	0	0	NA	NA
tS(UGA)E	20	20	20	20	20	20	20	20	NA	NA
tS(UGA)I	20	20	20	20	20	20	20	20	NA	NA
tS(UGA)P	20	20	20	20	20	20	20	20	NA	NA
tS(UGA)Q2	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)B	0	0	0	0	0	0	0	0	NA	NA
tT(AGU)C	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)D	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)H	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)I1	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)I2	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)J	20	20	20	20	20	20	20	20	NA	NA
tT(AGU)N1	20	20	20	20	20	20	20	20	NA	NA
