gene	min0	min5	min10	min30	min60	min120	min180	min240	autocor.adj	DESeq.adj
YOL023W	117.7778236	138.593174	173.2967342	149.2931583	124.5826568	118.6146613	82	148.0854115	0.317577396	0.349498851
YOL024W	20	20	20	20	20	20	20	20	NA	NA
YOL025W	99.80369789	111.5792502	121.5127988	148.0744386	138.5807082	81.07837606	99	139.2139352	NA	NA
YOL026C	259.6788158	258.3940532	282.5044394	392.4277304	417.1419296	376.8643035	484	413.5472781	NA	NA
YOL027C	1375.493618	1112.268947	938.7760955	730.0130761	779.691459	784.5083609	834	943.1061688	NA	NA
YOL028C	134.8059426	80.45451201	106.6441441	47.53006673	67.89054895	36.78555951	33	62.10033384	0.171386855	0.00179006
YOL029C	244.0697067	229.0310926	173.2967342	136.4966019	111.2845081	155.4002208	102	140.5787777	0.090348731	0.076053209
YOL030W	1743.490192	1988.459691	1830.382666	1828.688849	1508.989933	1330.285948	1386	1427.625257	NA	NA
YOL031C	245.0157133	347.6574534	339.4154971	438.7390775	340.8525499	364.8526923	322	378.061373	NA	NA
YOL032W	121.0888467	131.5460634	246.6145832	240.087773	216.269893	174.9190891	185	187.665844	0.137303361	0.949127719
YOL033W	138.1169658	146.8148029	177.9111443	263.2434465	285.5602471	178.6727176	160	242.2595441	0.164041715	0.897058657
YOL034W	173.1192106	153.8619135	124.07636	127.9655643	175.6755442	196.6901345	255	258.6376541	0.020074191	0.099103795
YOL035C	20	20	20	20.10887438	20	20	20	26.61442879	NA	NA
YOL036W	332.0483219	278.3608664	309.1654755	305.2892747	330.3540114	295.7859275	253	333.0215705	NA	NA
YOL037C	32.63722822	26.42666453	23.58476264	20	31.49561549	20	20	35.48590505	NA	NA
YOL038C-A	20	20	46.65681305	92.62269413	54.59240018	63.06095916	55	63.46517634	0.067683752	0.42770466
YOL038W	2393.396736	2402.477435	2320.535559	2763.446828	3202.754144	2501.418046	3901	2918.033269	NA	NA
YOL039W	11275.92585	12941.43125	11520.64384	8874.716562	8854.467368	8871.325647	10275	8032.098124	NA	NA
YOL040C	5510.961536	6360.017263	5892.088962	4912.658948	5650.313419	5734.042929	6075	5073.11958	NA	NA
YOL041C	1889.17521	1207.992199	799.8310808	620.3283068	999.4608649	1064.529049	805	810.0340249	0.099261409	0.496196002
YOL042W	131.0219162	147.9893214	168.6823241	245.5720114	188.2737904	168.9132835	126	180.8416315	NA	NA
YOL043C	169.8081874	146.8148029	165.0933385	197.4325849	184.7742775	167.411832	161	255.9079691	NA	NA
YOL044W	80.88356559	106.2939173	83.5720937	104.8098907	105.6852875	138.8842553	101	110.5522427	NA	NA
YOL045W	339.6163748	357.64086	268.148497	396.0838894	471.7343298	484.9688049	386	423.7835968	NA	NA
YOL046C	20	20	20	20	26.59629753	20	20	20	NA	NA
YOL047C	26.48818522	61.07495802	77.93225915	185.8547481	99.38616444	46.54499366	75	85.30265637	0.184769163	0.972697068
YOL048C	87.03260859	187.3356885	295.8349574	560.6110434	336.6531345	177.9219919	161	191.7603715	0.079196316	0.725263812
YOL049W	715.6540043	757.5643831	723.4369583	1029.208753	1160.438455	1023.989861	920	984.0514439	NA	NA
YOL050C	48.71934068	66.94755014	47.16952528	54.23302485	46.89347195	59.30733063	159	73.7014951	0.222373809	0.304521526
YOL051W	478.6793472	424.0011509	386.5850224	384.5060526	363.249432	406.8933317	248	573.2338508	0.939679705	0.205593286
YOL052C	524.0876648	453.9513707	351.7205907	346.1163833	356.2504063	383.6208349	369	386.250428	NA	NA
YOL052C-A	22.23115545	179.7013188	480.9240729	798.2613771	347.8515755	123.1190155	63	87.34992012	0.098318764	0.499975694
YOL053W	125.3458765	179.1140596	297.3730941	343.0695842	256.1643393	205.698843	240	172.6525765	0.133840472	0.728111233
YOL054W	296.1000705	281.2971624	217.9026983	193.1670661	345.7518678	398.6353489	447	452.4452894	0.05092393	0.114539207
YOL055C	199.1343925	128.0225082	198.9323457	282.742961	289.0597599	229.7220655	262	250.4485991	0.122770918	0.575533211
YOL056W	272.4499051	392.8764127	362.4875475	482.6129852	419.2416373	419.6556687	446	495.4378282	NA	NA
YOL057W	324.0072657	359.4026376	365.0511087	433.254839	535.4254633	316.0555215	307	445.6210769	NA	NA
YOL058W	317.3852194	321.2307888	440.9325189	451.5356339	455.6365708	280.7714134	346	358.953578	NA	NA
YOL059W	788.0235104	905.5537045	1760.14109	2366.144219	2023.41832	1241.700315	1230	1545.001712	0.091423997	0.916972006
YOL060C	413.4048908	467.4583325	641.4030013	688.5766077	511.6287761	516.4992845	309	627.1451296	0.4917134	0.781677677
YOL061W	708.5589547	523.2479577	448.6232024	400.3494082	449.3374477	486.4702563	358	399.2164318	NA	NA
YOL062C	353.806474	389.9401166	377.8689144	467.9883493	458.436181	388.1251891	207	477.0124544	0.680469014	0.790990273
YOL063C	185.8902999	225.5075373	238.4111875	241.9158524	290.4595651	222.2148085	192	208.1384815	NA	NA
YOL064C	739.3041697	792.7999359	848.5387428	1229.078777	1275.222476	926.395519	824	1018.854928	NA	NA
YOL065C	120.6158434	161.4962832	146.6356981	183.4173088	173.5758365	186.1799746	176	134.4369864	NA	NA
YOL066C	266.7738655	229.6183518	265.5849358	227.2912165	205.071452	239.4814996	203	231.3408041	NA	NA
YOL067C	212.8514884	169.130653	207.6484537	144.4182797	170.7762262	228.9713398	51	274.3333429	0.981938855	0.728111233
YOL068C	374.1456163	313.0091599	363.0002597	408.8804458	396.8447552	335.5743898	362	357.5887355	NA	NA
YOL069W	130.5489129	181.4630964	176.3730076	165.1365139	183.3744724	197.4408602	103	177.4295252	NA	NA
YOL070C	428.0679933	476.8544799	419.9113174	519.7839348	476.6336478	452.6875996	386	435.3847581	NA	NA
